Flight_ID,From,To,Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,Class
1,Islamabad,Dubai,1715575571,2024-05-13T04:46:11Z,UAE613,"33.538284,71.85817",21725,422,265,civil
1,Islamabad,Dubai,1715575602,2024-05-13T04:46:42Z,UAE613,"33.533859,71.785789",23000,427,265,civil
1,Islamabad,Dubai,1715575636,2024-05-13T04:47:16Z,UAE613,"33.529064,71.705467",24275,434,265,civil
1,Islamabad,Dubai,1715575667,2024-05-13T04:47:47Z,UAE613,"33.524643,71.630257",25350,442,265,civil
1,Islamabad,Dubai,1715575701,2024-05-13T04:48:21Z,UAE613,"33.519699,71.546432",26475,449,265,civil
1,Islamabad,Dubai,1715575733,2024-05-13T04:48:53Z,UAE613,"33.514725,71.466011",27400,458,265,civil
1,Islamabad,Dubai,1715575764,2024-05-13T04:49:24Z,UAE613,"33.509857,71.386414",28350,465,265,civil
1,Islamabad,Dubai,1715575796,2024-05-13T04:49:56Z,UAE613,"33.50481,71.304688",29250,472,265,civil
1,Islamabad,Dubai,1715575828,2024-05-13T04:50:28Z,UAE613,"33.499596,71.221451",30225,475,265,civil
1,Islamabad,Dubai,1715575859,2024-05-13T04:50:59Z,UAE613,"33.494522,71.141197",31625,465,265,civil
1,Islamabad,Dubai,1715575890,2024-05-13T04:51:30Z,UAE613,"33.487911,71.06237",32800,456,258,civil
1,Islamabad,Dubai,1715575893,2024-05-13T04:51:33Z,UAE613,"33.486187,71.054413",32900,458,255,civil
1,Islamabad,Dubai,1715575896,2024-05-13T04:51:36Z,UAE613,"33.484188,71.046906",33000,460,251,civil
1,Islamabad,Dubai,1715575900,2024-05-13T04:51:40Z,UAE613,"33.482254,71.04084",33075,462,249,civil
1,Islamabad,Dubai,1715575903,2024-05-13T04:51:43Z,UAE613,"33.478958,71.031502",33200,461,246,civil
1,Islamabad,Dubai,1715575906,2024-05-13T04:51:46Z,UAE613,"33.476131,71.024704",33275,462,244,civil
1,Islamabad,Dubai,1715575909,2024-05-13T04:51:49Z,UAE613,"33.472782,71.017418",33375,463,240,civil
1,Islamabad,Dubai,1715575912,2024-05-13T04:51:52Z,UAE613,"33.469711,71.011452",33450,464,238,civil
1,Islamabad,Dubai,1715575915,2024-05-13T04:51:55Z,UAE613,"33.465473,71.004021",33550,466,234,civil
1,Islamabad,Dubai,1715575919,2024-05-13T04:51:59Z,UAE613,"33.461468,70.997742",33650,467,232,civil
1,Islamabad,Dubai,1715575921,2024-05-13T04:52:01Z,UAE613,"33.456985,70.991508",33725,468,229,civil
1,Islamabad,Dubai,1715575925,2024-05-13T04:52:05Z,UAE613,"33.452087,70.985191",33825,469,226,civil
1,Islamabad,Dubai,1715575928,2024-05-13T04:52:08Z,UAE613,"33.447365,70.979866",33925,471,223,civil
1,Islamabad,Dubai,1715575931,2024-05-13T04:52:11Z,UAE613,"33.442245,70.974594",34025,472,220,civil
1,Islamabad,Dubai,1715575934,2024-05-13T04:52:14Z,UAE613,"33.4361,70.96888",34125,474,217,civil
1,Islamabad,Dubai,1715575937,2024-05-13T04:52:17Z,UAE613,"33.43084,70.964508",34200,475,214,civil
1,Islamabad,Dubai,1715575940,2024-05-13T04:52:20Z,UAE613,"33.425812,70.960579",34275,476,213,civil
1,Islamabad,Dubai,1715575943,2024-05-13T04:52:23Z,UAE613,"33.419899,70.956039",34375,477,212,civil
1,Islamabad,Dubai,1715575946,2024-05-13T04:52:26Z,UAE613,"33.413452,70.951134",34450,477,212,civil
1,Islamabad,Dubai,1715575950,2024-05-13T04:52:30Z,UAE613,"33.40773,70.946686",34550,476,212,civil
1,Islamabad,Dubai,1715575952,2024-05-13T04:52:32Z,UAE613,"33.403793,70.943665",34600,477,212,civil
1,Islamabad,Dubai,1715575956,2024-05-13T04:52:36Z,UAE613,"33.39624,70.937897",34700,476,212,civil
1,Islamabad,Dubai,1715575987,2024-05-13T04:53:07Z,UAE613,"33.3382,70.894386",35375,477,211,civil
1,Islamabad,Dubai,1715576018,2024-05-13T04:53:38Z,UAE613,"33.280334,70.852036",35975,473,211,civil
1,Islamabad,Dubai,1715576048,2024-05-13T04:54:08Z,UAE613,"33.223984,70.810509",36000,470,211,civil
1,Islamabad,Dubai,1715576079,2024-05-13T04:54:39Z,UAE613,"33.166168,70.767715",36000,469,211,civil
1,Islamabad,Dubai,1715576111,2024-05-13T04:55:11Z,UAE613,"33.108418,70.724937",36000,469,212,civil
1,Islamabad,Dubai,1715576141,2024-05-13T04:55:41Z,UAE613,"33.051994,70.682953",36000,468,211,civil
1,Islamabad,Dubai,1715576176,2024-05-13T04:56:16Z,UAE613,"32.989151,70.636429",36000,468,211,civil
1,Islamabad,Dubai,1715576206,2024-05-13T04:56:46Z,UAE613,"32.932892,70.594849",36000,468,211,civil
1,Islamabad,Dubai,1715576237,2024-05-13T04:57:17Z,UAE613,"32.876213,70.551788",36000,467,212,civil
1,Islamabad,Dubai,1715576271,2024-05-13T04:57:51Z,UAE613,"32.815567,70.504868",36000,466,213,civil
1,Islamabad,Dubai,1715576302,2024-05-13T04:58:22Z,UAE613,"32.759693,70.461937",36000,466,213,civil
1,Islamabad,Dubai,1715576335,2024-05-13T04:58:55Z,UAE613,"32.699341,70.415771",36000,467,212,civil
1,Islamabad,Dubai,1715576366,2024-05-13T04:59:26Z,UAE613,"32.64201,70.372253",36000,468,212,civil
1,Islamabad,Dubai,1715576397,2024-05-13T04:59:57Z,UAE613,"32.5849,70.331123",36000,469,210,civil
1,Islamabad,Dubai,1715576428,2024-05-13T05:00:28Z,UAE613,"32.526306,70.291245",36000,468,209,civil
1,Islamabad,Dubai,1715576461,2024-05-13T05:01:01Z,UAE613,"32.465298,70.249496",36000,469,210,civil
1,Islamabad,Dubai,1715576492,2024-05-13T05:01:32Z,UAE613,"32.405991,70.208466",36000,470,210,civil
1,Islamabad,Dubai,1715576526,2024-05-13T05:02:06Z,UAE613,"32.34333,70.164742",36000,471,211,civil
1,Islamabad,Dubai,1715576557,2024-05-13T05:02:37Z,UAE613,"32.285839,70.122818",36000,470,211,civil
1,Islamabad,Dubai,1715576587,2024-05-13T05:03:07Z,UAE613,"32.229218,70.081566",36000,471,211,civil
1,Islamabad,Dubai,1715576620,2024-05-13T05:03:40Z,UAE613,"32.169319,70.038231",36000,470,211,civil
1,Islamabad,Dubai,1715576655,2024-05-13T05:04:15Z,UAE613,"32.103542,69.990929",36000,469,211,civil
1,Islamabad,Dubai,1715576686,2024-05-13T05:04:46Z,UAE613,"32.046745,69.950287",36000,469,211,civil
1,Islamabad,Dubai,1715576716,2024-05-13T05:05:16Z,UAE613,"31.989853,69.90963",36000,469,211,civil
1,Islamabad,Dubai,1715576747,2024-05-13T05:05:47Z,UAE613,"31.932907,69.868927",36000,468,211,civil
1,Islamabad,Dubai,1715576781,2024-05-13T05:06:21Z,UAE613,"31.870148,69.824158",36000,467,211,civil
1,Islamabad,Dubai,1715576811,2024-05-13T05:06:51Z,UAE613,"31.814451,69.784538",36000,467,211,civil
1,Islamabad,Dubai,1715576845,2024-05-13T05:07:25Z,UAE613,"31.751724,69.739922",36000,466,211,civil
1,Islamabad,Dubai,1715576875,2024-05-13T05:07:55Z,UAE613,"31.695557,69.700012",36000,466,211,civil
1,Islamabad,Dubai,1715576906,2024-05-13T05:08:26Z,UAE613,"31.639647,69.660294",36000,467,211,civil
